Lat,Lon,Country,Capacity (MW),Wind turbine number,,Name,Stage
-42.40159053,-69.27920433,Argentina,1350,NA,,Central Eolica Gastre,En construccion
-42.68384,-65.31628,Argentina,150,42,,Parque Eolico Puerto Madryn II,Operativo
-38.85763889,-68.88630556,Argentina,125,50,,Los Meandros,En construccion
-37.142972,-59.7715,Argentina,123,32,,Los Teros I,Operativo
-46.592444,-67.648611,Argentina,121.8,29,,Caadon Leon,En construccion
-38.222472,-58.138806,Argentina,100.8,24,,Fray Gen,En construccion
-39.755444,-69.737306,Argentina,100.5,29,,Vientos Neuquinos,Operativo
-38.30557327,-68.75152504,Argentina,100,NA,,Parque Eolico Aelo II,Indeterminado
-38.35704814,-68.61883239,Argentina,100,NA,,Parque Eolico Aelo I,Indeterminado
-28.6684,-66.7524,Argentina,100,38,,Parque Eolico Arauco Sapem II,Operativo
-47.28167,-67.0227,Argentina,100,30,,Parque Eolico Del Bicentenario I,Operativo
-38.67412226,-62.03765941,Argentina,100,29,,Parque Eolico Corti I,Operativo
-38.304778,-62.243222,Argentina,100,27,,El Mataco I y San Jorgue (tambien llamado Tres Picos),Operativo
-39.55923,-65.7414,Argentina,100,26,,Parque Eolico Pomona I,Operativo
-38.346639,-62.309917,Argentina,100,24,,El Mataco I y San Jorgue (tambien llamado Tres Picos),Operativo
-38.63269012,-62.71324747,Argentina,99,32,,Parque Eolico La Castellana,Operativo
-45.65424,-67.78497,Argentina,99,30,,Parque Eolico Manantiales Behr,Operativo
-38.210028,-58.028972,Argentina,98.6,29,,Miramar,Operativo
-46.63425,-68.3925,Argentina,97.2,27,,Los Hercules,Operativo
-38.572,-61.9455,Argentina,86.62,21,,Parque Eolico La Genoveva I,Operativo
-42.585806,-65.158417,Argentina,83.2,19,,Chubut Norte IV,En construccion
-38.3621,-62.2249,Argentina,79.8,25,,Parque Eolico Energetica I (Tambien llamado Vientos Bonaerenses),Operativo
-33.2311,-65.0725,Argentina,79.8,21,,Parque Eolico Budweiser (Achiras II),Operativo
-42.69497,-65.22211,Argentina,70,20,,Parque Eolico Puerto Madryn I,Operativo
-42.624611,-65.278083,Argentina,61.2,17,,El Lano II,En construccion
