Species,Order,Family,IUCN conservation status,Turbines density in whole distribution (per pixel ~ 10k km2),WPD>1 with no turbines today (percent of distribution)
Accipiter gundlachi,Accipitriformes,Accipitridae,Endangered,2.3,0.9
Acrobatornis fonsecai,Passeriformes,Furnariidae,Vulnerable,0.0,0.0
Agelaius tricolor,Passeriformes,Icteridae,Endangered,8.7,0.33
Agelaius xanthomus,Passeriformes,Icteridae,Endangered,10.3,0.5
Aglaeactis aliciae,Caprimulgiformes,Trochilidae,Vulnerable,0.0,0.0
Aglaiocercus berlepschi,Caprimulgiformes,Trochilidae,Endangered,0.0,1.0
Agriornis albicauda,Passeriformes,Tyrannidae,Vulnerable,2.0,0.2
Alectrurus risora,Passeriformes,Tyrannidae,Vulnerable,7.4,0.82
Alectrurus tricolor,Passeriformes,Tyrannidae,Vulnerable,0.5,0.29
Amazilia alfaroana,Caprimulgiformes,Trochilidae,Critically Endangered,178.0,0.0
Amazilia boucardi,Caprimulgiformes,Trochilidae,Endangered,49.0,0.0
Amazilia lilliae,Caprimulgiformes,Trochilidae,Endangered,0.0,0.67
Amazilia luciae,Caprimulgiformes,Trochilidae,Vulnerable,0.0,0.0
Amazona agilis,Psittaciformes,Psittacidae,Endangered,0.0,1.0
Amazona arausiaca,Psittaciformes,Psittacidae,Vulnerable,0.0,1.0
Amazona auropalliata,Psittaciformes,Psittacidae,Critically Endangered,52.0,0.21
Amazona collaria,Psittaciformes,Psittacidae,Vulnerable,0.0,1.0
Amazona finschi,Psittaciformes,Psittacidae,Endangered,0.0,0.0
Amazona guildingii,Psittaciformes,Psittacidae,Vulnerable,0.0,1.0
Amazona imperialis,Psittaciformes,Psittacidae,Critically Endangered,0.0,1.0
Amazona lilacina,Psittaciformes,Psittacidae,Critically Endangered,2.3,0.0
Amazona oratrix,Psittaciformes,Psittacidae,Endangered,26.3,0.24
Amazona pretrei,Psittaciformes,Psittacidae,Vulnerable,9.0,0.78
Amazona rhodocorytha,Psittaciformes,Psittacidae,Vulnerable,0.8,0.33
Amazona tucumana,Psittaciformes,Psittacidae,Vulnerable,0.8,0.1
Amazona ventralis,Psittaciformes,Psittacidae,Vulnerable,11.0,0.5
Amazona versicolor,Psittaciformes,Psittacidae,Vulnerable,0.0,1.0
Amazona vinacea,Psittaciformes,Psittacidae,Endangered,4.6,0.48
Amazona viridigenalis,Psittaciformes,Psittacidae,Endangered,6.2,0.56
Amazona vittata,Psittaciformes,Psittacidae,Critically Endangered,10.3,0.5
Ammospiza caudacuta,Passeriformes,Passerellidae,Endangered,0.0,0.83
Ampelornis griseiceps,Passeriformes,Thamnophilidae,Vulnerable,4.5,0.17
Anairetes alpinus,Passeriformes,Tyrannidae,Endangered,0.0,0.06
Anodorhynchus glaucus,Psittaciformes,Psittacidae,Critically Endangered,5.8,0.83
Anodorhynchus hyacinthinus,Psittaciformes,Psittacidae,Vulnerable,0.1,0.12
Anodorhynchus leari,Psittaciformes,Psittacidae,Endangered,88.4,0.25
Anthocephala berlepschi,Caprimulgiformes,Trochilidae,Vulnerable,0.0,0.0
Anthocephala floriceps,Caprimulgiformes,Trochilidae,Vulnerable,0.0,0.33
Anthus nattereri,Passeriformes,Motacillidae,Vulnerable,7.1,0.52
Anthus spragueii,Passeriformes,Motacillidae,Vulnerable,4.5,0.49
Antilophia bokermanni,Passeriformes,Pipridae,Critically Endangered,0.0,0.0
Antrostomus noctitherus,Caprimulgiformes,Caprimulgidae,Endangered,12.0,0.5
Anumara forbesi,Passeriformes,Icteridae,Vulnerable,37.4,0.22
Aphanotriccus capitalis,Passeriformes,Tyrannidae,Vulnerable,65.2,0.0
Aphelocoma coerulescens,Passeriformes,Corvidae,Vulnerable,0.0,1.0
Aphrastura masafuerae,Passeriformes,Furnariidae,Critically Endangered,0.0,1.0
Ara ambiguus,Psittaciformes,Psittacidae,Critically Endangered,11.1,0.05
Ara glaucogularis,Psittaciformes,Psittacidae,Critically Endangered,0.0,0.1
Ara militaris,Gruiformes,Rallidae,Vulnerable,13.9,0.07
Ara rubrogenys,Psittaciformes,Psittacidae,Vulnerable,4.2,0.0
Aramides wolfi,Psittaciformes,Psittacidae,Critically Endangered,0.6,0.04
Aratinga solstitialis,Psittaciformes,Psittacidae,Endangered,0.0,0.1
Ardea occidentalis,Pelecaniformes,Ardeidae,Endangered,2.1,0.89
Ardenna creatopus,Procellariiformes,Procellariidae,Vulnerable,2.9,0.34
Arremon perijanus,Passeriformes,Passerellidae,Vulnerable,0.0,0.0
